County,Population,Poverty,Poverty_Ugstudents,
"Prince of Wales-Hyder Census Area, Alaska",,,,
    Estimate,"5,493",689,6,
"Sitka City and Borough, Alaska",,,,
    Estimate,"7,972",578,74,
"Skagway Municipality, Alaska",,,,
    Estimate,"1,199",70,0,
"Southeast Fairbanks Census Area, Alaska",,,,
    Estimate,"6,606",842,8,
"Wrangell City and Borough, Alaska",,,,
    Estimate,"1,990",224,0,
"Yakutat City and Borough, Alaska",,,,
    Estimate,518,62,0,
"Yukon-Koyukuk Census Area, Alaska",,,,
    Estimate,"4,974",775,0,
"Apache County, Arizona",,,,
    Estimate,"61,897","18,422",442,
"Cochise County, Arizona",,,,
    Estimate,"116,089","17,730","1,042",
"Coconino County, Arizona",,,,
    Estimate,"128,572","21,476","4,381",
"Gila County, Arizona",,,,
    Estimate,"51,084","8,557",390,
"Graham County, Arizona",,,,
    Estimate,"35,111","6,025",311,
"Greenlee County, Arizona",,,,
    Estimate,"9,041",762,22,
"La Paz County, Arizona",,,,
    Estimate,"16,136","2,706",68,
"Maricopa County, Arizona",,,,
    Estimate,"4,346,030","470,636","31,324",
"Mohave County, Arizona",,,,
    Estimate,"211,438","33,615",919,
"Navajo County, Arizona",,,,
    Estimate,"102,288","24,947",521,
"Pima County, Arizona",,,,
    Estimate,"1,002,784","141,632","17,075",
"Pinal County, Arizona",,,,
    Estimate,"437,922","47,720","1,949",
"Santa Cruz County, Arizona",,,,
    Estimate,"47,178","9,368",260,
"Yavapai County, Arizona",,,,
    Estimate,"236,856","28,217","1,982",
"Yuma County, Arizona",,,,
    Estimate,"195,862","29,711","1,016",
"Arkansas County, Arkansas",,,,
    Estimate,"15,614","2,990",234,
"Ashley County, Arkansas",,,,
    Estimate,"17,717","3,860",47,
"Baxter County, Arkansas",,,,
    Estimate,"40,949","6,267",147,
"Benton County, Arkansas",,,,
    Estimate,"288,402","21,226","1,058",
"Boone County, Arkansas",,,,
    Estimate,"36,574","4,277",222,
"Bradley County, Arkansas",,,,
    Estimate,"9,816","1,968",22,
"Calhoun County, Arkansas",,,,
    Estimate,"4,396",457,9,
"Carroll County, Arkansas",,,,
    Estimate,"27,287","4,688",54,
"Chicot County, Arkansas",,,,
    Estimate,"8,761","2,009",60,
"Clark County, Arkansas",,,,
    Estimate,"17,778","3,711",668,
"Clay County, Arkansas",,,,
    Estimate,"13,677","2,381",63,
"Cleburne County, Arkansas",,,,
    Estimate,"24,157","3,305",89,
"Cleveland County, Arkansas",,,,
    Estimate,"7,264","1,150",65,
"Columbia County, Arkansas",,,,
    Estimate,"19,508","4,047",311,
"Conway County, Arkansas",,,,
    Estimate,"20,127","3,839",148,
"Craighead County, Arkansas",,,,
    Estimate,"105,270","20,693","1,398",
"Crawford County, Arkansas",,,,
    Estimate,"58,153","8,447",129,
"Crittenden County, Arkansas",,,,
    Estimate,"44,672","9,019",322,
"Cross County, Arkansas",,,,
    Estimate,"15,734","3,040",50,
"Dallas County, Arkansas",,,,
    Estimate,"5,872",834,61,
"Desha County, Arkansas",,,,
    Estimate,"10,323","2,842",139,
"Drew County, Arkansas",,,,
    Estimate,"15,714","3,384",384,
"Faulkner County, Arkansas",,,,
    Estimate,"118,209","16,792","3,012",
"Franklin County, Arkansas",,,,
    Estimate,"16,481","2,943",82,
"Fulton County, Arkansas",,,,
    Estimate,"11,800","2,014",61,
"Garland County, Arkansas",,,,
    Estimate,"95,839","15,040",342,
"Grant County, Arkansas",,,,
    Estimate,"17,683","2,232",57,
"Greene County, Arkansas",,,,
    Estimate,"43,422","7,217",162,
"Hempstead County, Arkansas",,,,
    Estimate,"18,503","3,717",172,
"Hot Spring County, Arkansas",,,,
    Estimate,"29,830","4,389",61,
"Howard County, Arkansas",,,,
    Estimate,"11,886","2,649",155,
"Independence County, Arkansas",,,,
    Estimate,"35,707","7,144",257,
"Izard County, Arkansas",,,,
    Estimate,"12,543","2,729",40,
"Jackson County, Arkansas",,,,
    Estimate,"13,759","2,920",39,
"Jefferson County, Arkansas",,,,
    Estimate,"56,885","10,576",749,
"Johnson County, Arkansas",,,,
    Estimate,"24,184","4,679",178,
"Lafayette County, Arkansas",,,,
    Estimate,"5,951","1,343",31,
"Lawrence County, Arkansas",,,,
    Estimate,"15,084","3,014",92,
"Lee County, Arkansas",,,,
    Estimate,"6,449","2,495",120,
"Lincoln County, Arkansas",,,,
    Estimate,"8,523","1,289",40,
"Little River County, Arkansas",,,,
    Estimate,"11,113","1,642",9,
"Logan County, Arkansas",,,,
    Estimate,"20,455","2,851",8,
"Lonoke County, Arkansas",,,,
    Estimate,"71,992","7,211",205,
"Madison County, Arkansas",,,,
    Estimate,"16,540","2,187",56,
"Marion County, Arkansas",,,,
    Estimate,"16,595","2,951",47,
"Miller County, Arkansas",,,,
    Estimate,"39,533","9,388",315,
"Mississippi County, Arkansas",,,,
    Estimate,"36,795","7,593",264,
"Monroe County, Arkansas",,,,
    Estimate,"6,147","1,218",18,
"Montgomery County, Arkansas",,,,
    Estimate,"8,204","1,859",62,
"Nevada County, Arkansas",,,,
    Estimate,"7,776","1,538",53,
"Newton County, Arkansas",,,,
    Estimate,"6,844","1,010",3,
"Ouachita County, Arkansas",,,,
    Estimate,"20,960","3,928",93,
"Perry County, Arkansas",,,,
    Estimate,"9,735","1,376",43,
"Phillips County, Arkansas",,,,
    Estimate,"14,756","4,170",63,
"Pike County, Arkansas",,,,
    Estimate,"9,619","1,939",110,
"Poinsett County, Arkansas",,,,
    Estimate,"21,306","4,227",150,
"Polk County, Arkansas",,,,
    Estimate,"18,420","2,931",54,
"Pope County, Arkansas",,,,
    Estimate,"58,718","9,844",813,
"Prairie County, Arkansas",,,,
    Estimate,"7,638",924,0,
"Pulaski County, Arkansas",,,,
    Estimate,"377,751","61,541","2,254",
"Randolph County, Arkansas",,,,
    Estimate,"17,584","3,753",91,
"St. Francis County, Arkansas",,,,
    Estimate,"18,737","5,110",88,
"Saline County, Arkansas",,,,
    Estimate,"121,846","10,860",210,
"Scott County, Arkansas",,,,
    Estimate,"9,377","1,804",48,
"Searcy County, Arkansas",,,,
    Estimate,"7,510","1,712",39,
"Sebastian County, Arkansas",,,,
    Estimate,"122,057","19,258",717,
"Sevier County, Arkansas",,,,
    Estimate,"15,040","2,540",72,
"Sharp County, Arkansas",,,,
    Estimate,"16,981","2,821",15,
"Stone County, Arkansas",,,,
    Estimate,"12,195","2,288",19,
"Union County, Arkansas",,,,
    Estimate,"35,836","6,829",284,
"Van Buren County, Arkansas",,,,
    Estimate,"15,501","2,956",73,
"Washington County, Arkansas",,,,
    Estimate,"237,891","34,218","7,834",
"White County, Arkansas",,,,
    Estimate,"72,420","12,559",813,
"Woodruff County, Arkansas",,,,
    Estimate,"5,689","1,351",76,
"Yell County, Arkansas",,,,
    Estimate,"18,932","2,940",196,
"Alameda County, California",,,,
    Estimate,"1,571,730","144,932","16,956",
"Alpine County, California",,,,
    Estimate,"1,562",153,18,
"Amador County, California",,,,
    Estimate,"36,920","3,049",54,
"Butte County, California",,,,
    Estimate,"196,996","37,449","9,064",
"Calaveras County, California",,,,
    Estimate,"44,839","5,844",179,
"Colusa County, California",,,,
    Estimate,"20,866","2,379",115,
"Contra Costa County, California",,,,
    Estimate,"1,120,277","93,050","6,531",
"Del Norte County, California",,,,
    Estimate,"24,055","3,113",54,
"El Dorado County, California",,,,
    Estimate,"186,662","14,978",796,
"Fresno County, California",,,,
    Estimate,"959,420","172,779","10,310",
"Glenn County, California",,,,
    Estimate,"27,280","4,210",178,
"Humboldt County, California",,,,
    Estimate,"128,340","24,024","3,479",
"Imperial County, California",,,,
    Estimate,"166,298","31,894","2,315",
"Inyo County, California",,,,
    Estimate,"17,882","1,973",63,
"Kern County, California",,,,
    Estimate,"855,214","161,592","7,197",
"Kings County, California",,,,
    Estimate,"133,096","20,765","1,081",
"Lake County, California",,,,
    Estimate,"64,901","11,091",491,
"Lassen County, California",,,,
    Estimate,"23,059","3,224",135,
"Los Angeles County, California",,,,
    Estimate,"9,371,291","1,280,035","90,039",
"Madera County, California",,,,
    Estimate,"147,993","27,886","1,831",
"Marin County, California",,,,
    Estimate,"247,241","20,482","1,290",
"Mariposa County, California",,,,
    Estimate,"16,480","2,312",77,
"Mendocino County, California",,,,
    Estimate,"86,368","13,049",378,
"Merced County, California",,,,
    Estimate,"274,054","51,126","3,231",
"Modoc County, California",,,,
    Estimate,"8,176","1,458",11,
"Mono County, California",,,,
    Estimate,"12,636","1,043",51,
"Monterey County, California",,,,
    Estimate,"405,578","50,554","2,522",
"Napa County, California",,,,
    Estimate,"128,679","10,564",612,
"Nevada County, California",,,,
    Estimate,"99,008","10,845",256,
"Orange County, California",,,,
    Estimate,"3,032,383","286,665","31,927",
"Placer County, California",,,,
    Estimate,"403,499","27,260","1,805",
"Plumas County, California",,,,
    Estimate,"18,712","1,936",114,
"Riverside County, California",,,,
    Estimate,"2,361,711","248,818","15,507",
"Sacramento County, California",,,,
    Estimate,"1,522,161","188,918","14,378",
"San Benito County, California",,,,
    Estimate,"64,550","4,321",170,
"San Bernardino County, California",,,,
    Estimate,"2,078,600","274,342","15,259",
"San Diego County, California",,,,
    Estimate,"3,090,023","316,120","37,125",
"San Francisco County, California",,,,
    Estimate,"796,325","90,040","7,736",
"San Joaquin County, California",,,,
    Estimate,"757,162","92,624","4,463",
"San Luis Obispo County, California",,,,
    Estimate,"260,974","33,431","12,152",
"San Mateo County, California",,,,
    Estimate,"713,796","48,211","3,762",
"Santa Barbara County, California",,,,
    Estimate,"407,402","59,534","12,972",
"Santa Clara County, California",,,,
    Estimate,"1,813,814","129,675","14,545",
"Santa Cruz County, California",,,,
    Estimate,"247,093","28,717","6,452",
"Shasta County, California",,,,
    Estimate,"173,016","22,724","1,213",
"Sierra County, California",,,,
    Estimate,"2,568",114,0,
"Siskiyou County, California",,,,
    Estimate,"41,992","6,789",381,
"Solano County, California",,,,
    Estimate,"428,198","41,898","2,352",
"Sonoma County, California",,,,
    Estimate,"465,662","41,452","2,833",
"Stanislaus County, California",,,,
    Estimate,"528,919","70,859","3,740",
"Sutter County, California",,,,
    Estimate,"94,400","13,209",373,
"Tehama County, California",,,,
    Estimate,"62,462","9,495",177,
"Trinity County, California",,,,
    Estimate,"15,275","3,222",196,
"Tulare County, California",,,,
    Estimate,"454,388","79,652","4,059",
"Tuolumne County, California",,,,
    Estimate,"50,174","5,350",218,
"Ventura County, California",,,,
    Estimate,"802,796","74,436","5,458",
"Yolo County, California",,,,
    Estimate,"206,435","34,746","14,764",
"Yuba County, California",,,,
    Estimate,"79,544","11,017",584,
"Adams County, Colorado",,,,
    Estimate,"506,534","48,701","2,173",
"Alamosa County, Colorado",,,,
    Estimate,"15,234","2,636",145,
"Arapahoe County, Colorado",,,,
    Estimate,"632,000","53,580","2,226",
"Archuleta County, Colorado",,,,
    Estimate,"13,513","1,108",11,
"Baca County, Colorado",,,,
    Estimate,"3,232",801,6,
"Bent County, Colorado",,,,
    Estimate,"4,253","1,149",45,
"Boulder County, Colorado",,,,
    Estimate,"308,775","34,757","13,360",
"Broomfield County, Colorado",,,,
    Estimate,"73,906","4,614",531,
"Chaffee County, Colorado",,,,
    Estimate,"18,477","1,537",139,
"Cheyenne County, Colorado",,,,
    Estimate,"1,643",140,3,
"Clear Creek County, Colorado",,,,
    Estimate,"9,045",587,0,
"Conejos County, Colorado",,,,
    Estimate,"7,248",816,31,
"Costilla County, Colorado",,,,
    Estimate,"3,511",743,7,
"Crowley County, Colorado",,,,
    Estimate,"3,809",742,10,
"Custer County, Colorado",,,,
    Estimate,"5,178",654,0,
"Delta County, Colorado",,,,
    Estimate,"29,834","4,172",60,
"Denver County, Colorado",,,,
    Estimate,"684,239","75,658","5,354",
"Dolores County, Colorado",,,,
    Estimate,"2,335",442,0,
"Douglas County, Colorado",,,,
    Estimate,"363,577","13,739","1,122",
"Eagle County, Colorado",,,,
    Estimate,"53,458","4,573",310,
"Elbert County, Colorado",,,,
    Estimate,"27,055","1,388",39,
"El Paso County, Colorado",,,,
    Estimate,"695,064","58,579","4,330",
"Fremont County, Colorado",,,,
    Estimate,"40,880","5,354",232,
"Garfield County, Colorado",,,,
    Estimate,"59,242","4,786",434,
"Gilpin County, Colorado",,,,
    Estimate,"5,594",649,7,
"Grand County, Colorado",,,,
    Estimate,"15,495","1,201",93,
"Gunnison County, Colorado",,,,
    Estimate,"15,878","1,820",619,
"Hinsdale County, Colorado",,,,
    Estimate,982,41,0,
"Huerfano County, Colorado",,,,
    Estimate,"6,671","1,095",15,
"Jackson County, Colorado",,,,
    Estimate,"1,355",200,0,
"Jefferson County, Colorado",,,,
    Estimate,"554,886","36,986","4,690",
"Kiowa County, Colorado",,,,
    Estimate,"1,316",158,2,
"Kit Carson County, Colorado",,,,
    Estimate,"6,614",641,22,
"Lake County, Colorado",,,,
    Estimate,"7,000",573,21,
"La Plata County, Colorado",,,,
    Estimate,"53,187","6,276",696,
"Larimer County, Colorado",,,,
    Estimate,"348,437","39,225","13,846",
"Las Animas County, Colorado",,,,
    Estimate,"13,345","2,406",85,
"Lincoln County, Colorado",,,,
    Estimate,"4,253",432,0,
"Logan County, Colorado",,,,
    Estimate,"18,046","2,845",117,
"Mesa County, Colorado",,,,
    Estimate,"150,285","15,910","1,435",
"Mineral County, Colorado",,,,
    Estimate,704,73,2,
"Moffat County, Colorado",,,,
    Estimate,"12,701","1,026",77,
"Montezuma County, Colorado",,,,
    Estimate,"25,266","3,251",60,
"Montrose County, Colorado",,,,
    Estimate,"42,279","4,855",401,
"Morgan County, Colorado",,,,
    Estimate,"27,959","3,858",68,
"Otero County, Colorado",,,,
    Estimate,"17,240","3,580",86,
"Ouray County, Colorado",,,,
    Estimate,"5,041",216,0,
"Park County, Colorado",,,,
    Estimate,"17,425",883,15,
"Phillips County, Colorado",,,,
    Estimate,"4,233",735,5,
"Pitkin County, Colorado",,,,
    Estimate,"16,704","1,313",0,
"Prowers County, Colorado",,,,
    Estimate,"11,138","1,954",53,
"Pueblo County, Colorado",,,,
    Estimate,"159,454","23,005","1,057",
"Rio Blanco County, Colorado",,,,
    Estimate,"5,952",534,13,
"Rio Grande County, Colorado",,,,
    Estimate,"10,694","1,928",108,
"Routt County, Colorado",,,,
    Estimate,"24,264","1,256",72,
"Saguache County, Colorado",,,,
    Estimate,"6,478","1,151",100,
"San Juan County, Colorado",,,,
    Estimate,690,154,0,
"San Miguel County, Colorado",,,,
    Estimate,"7,853",732,0,
"Sedgwick County, Colorado",,,,
    Estimate,"2,156",283,13,
"Summit County, Colorado",,,,
    Estimate,"30,416","2,373",380,
"Teller County, Colorado",,,,
    Estimate,"24,233","1,853",112,
"Washington County, Colorado",,,,
    Estimate,"4,500",375,12,
"Weld County, Colorado",,,,
    Estimate,"330,702","31,733","3,218",
"Yuma County, Colorado",,,,
    Estimate,"9,329","1,620",22,
"Capitol Planning Region, Connecticut",,,,
    Estimate,"915,053","93,301","6,145",
"Greater Bridgeport Planning Region, Connecticut",,,,
    Estimate,"309,910","38,046","2,354",
"Lower Connecticut River Valley Planning Region, Connecticut",,,,
    Estimate,"165,368","11,358",776,
"Naugatuck Valley Planning Region, Connecticut",,,,
    Estimate,"436,055","48,478","2,380",
"Northeastern Connecticut Planning Region, Connecticut",,,,
    Estimate,"92,785","6,919",278,
"Northwest Hills Planning Region, Connecticut",,,,
    Estimate,"109,191","9,496",444,
"South Central Connecticut Planning Region, Connecticut",,,,
    Estimate,"533,090","59,856","4,735",
"Southeastern Connecticut Planning Region, Connecticut",,,,
    Estimate,"261,419","27,618","1,339",
"Western Connecticut Planning Region, Connecticut",,,,
    Estimate,"601,317","44,784","2,292",
"Kent County, Delaware",,,,
    Estimate,"177,025","18,743",861,
"New Castle County, Delaware",,,,
    Estimate,"543,187","53,736","5,732",
"Sussex County, Delaware",,,,
    Estimate,"245,263","25,792",656,
"District of Columbia, District of Columbia",,,,
    Estimate,"630,994","96,803","7,372",
"Alachua County, Florida",,,,
    Estimate,"260,361","55,420","18,481",
"Baker County, Florida",,,,
    Estimate,"25,015","2,895",262,
"Bay County, Florida",,,,
    Estimate,"177,124","20,462",595,
"Bradford County, Florida",,,,
    Estimate,"23,229","3,761",160,
"Brevard County, Florida",,,,
    Estimate,"609,042","60,960","2,745",
"Broward County, Florida",,,,
    Estimate,"1,897,511","229,619","9,400",
"Calhoun County, Florida",,,,
    Estimate,"11,419","2,320",59,
"Charlotte County, Florida",,,,
    Estimate,"193,388","17,020",370,
"Citrus County, Florida",,,,
    Estimate,"156,404","24,366",448,
"Clay County, Florida",,,,
    Estimate,"218,081","19,617","1,050",
"Collier County, Florida",,,,
    Estimate,"385,867","40,782","1,572",
"Columbia County, Florida",,,,
    Estimate,"64,643","10,345",301,
"DeSoto County, Florida",,,,
    Estimate,"32,608","7,642",191,
"Dixie County, Florida",,,,
    Estimate,"14,887","2,986",35,
"Duval County, Florida",,,,
    Estimate,"964,893","134,750","6,321",
"Escambia County, Florida",,,,
    Estimate,"296,454","42,734","1,823",
"Flagler County, Florida",,,,
    Estimate,"123,127","12,275",620,
"Franklin County, Florida",,,,
    Estimate,"10,642","1,669",1,
"Gadsden County, Florida",,,,
    Estimate,"39,778","10,903",164,
"Gilchrist County, Florida",,,,
    Estimate,"17,566","2,027",0,
"Glades County, Florida",,,,
    Estimate,"11,112","1,888",98,
"Gulf County, Florida",,,,
    Estimate,"12,196","1,472",120,
"Hamilton County, Florida",,,,
    Estimate,"10,685","2,201",56,
"Hardee County, Florida",,,,
    Estimate,"23,074","5,880",159,
"Hendry County, Florida",,,,
    Estimate,"39,817","8,856",402,
"Hernando County, Florida",,,,
    Estimate,"199,032","23,194",760,
"Highlands County, Florida",,,,
    Estimate,"102,032","15,530",355,
"Hillsborough County, Florida",,,,
    Estimate,"1,446,204","182,333","15,301",
"Holmes County, Florida",,,,
    Estimate,"16,974","2,364",20,
"Indian River County, Florida",,,,
    Estimate,"161,665","17,387",534,
"Jackson County, Florida",,,,
    Estimate,"39,799","7,628",163,
"Jefferson County, Florida",,,,
    Estimate,"13,521","2,767",164,
"Lafayette County, Florida",,,,
    Estimate,"6,502","1,077",31,
"Lake County, Florida",,,,
    Estimate,"397,490","34,786","1,431",
"Lee County, Florida",,,,
    Estimate,"782,774","92,688","4,412",
"Leon County, Florida",,,,
    Estimate,"270,611","50,134","16,880",
"Levy County, Florida",,,,
    Estimate,"43,743","7,449",223,
"Liberty County, Florida",,,,
    Estimate,"6,074","1,073",27,
"Madison County, Florida",,,,
    Estimate,"15,904","3,310",46,
"Manatee County, Florida",,,,
    Estimate,"415,084","40,068","1,397",
"Marion County, Florida",,,,
    Estimate,"380,217","54,043","1,455",
"Martin County, Florida",,,,
    Estimate,"154,810","17,275",297,
"Miami-Dade County, Florida",,,,
    Estimate,"2,611,856","379,344","17,467",
"Monroe County, Florida",,,,
    Estimate,"78,714","8,386",551,
"Nassau County, Florida",,,,
    Estimate,"94,580","8,711",537,
"Okaloosa County, Florida",,,,
    Estimate,"203,657","18,443",989,
"Okeechobee County, Florida",,,,
    Estimate,"36,576","6,399",107,
"Orange County, Florida",,,,
    Estimate,"1,387,353","177,917","17,696",
"Osceola County, Florida",,,,
    Estimate,"411,097","52,450","1,943",
"Palm Beach County, Florida",,,,
    Estimate,"1,466,859","164,412","8,781",
"Pasco County, Florida",,,,
    Estimate,"587,045","64,229","2,400",
"Pinellas County, Florida",,,,
    Estimate,"922,270","105,937","5,555",
"Polk County, Florida",,,,
    Estimate,"749,744","106,924","3,322",
"Putnam County, Florida",,,,
    Estimate,"71,396","16,370",355,
"St. Johns County, Florida",,,,
    Estimate,"295,860","19,352",872,
"St. Lucie County, Florida",,,,
    Estimate,"346,614","42,017","1,232",
"Santa Rosa County, Florida",,,,
    Estimate,"187,038","16,145",908,
"Sarasota County, Florida",,,,
    Estimate,"442,638","37,791","1,777",
"Seminole County, Florida",,,,
    Estimate,"462,674","41,501","4,987",
"Sumter County, Florida",,,,
    Estimate,"133,970","12,518",205,
"Suwannee County, Florida",,,,
    Estimate,"42,186","6,348",127,
"Taylor County, Florida",,,,
    Estimate,"18,261","2,983",11,
"Union County, Florida",,,,
    Estimate,"10,558","2,032",51,
"Volusia County, Florida",,,,
    Estimate,"549,017","64,094","3,938",
"Wakulla County, Florida",,,,
    Estimate,"31,345","2,110",129,
"Walton County, Florida",,,,
    Estimate,"78,276","9,704",107,
"Washington County, Florida",,,,
    Estimate,"22,102","3,719",73,
"Appling County, Georgia",,,,
    Estimate,"17,422","3,971",33,
"Atkinson County, Georgia",,,,
    Estimate,"7,884","1,902",50,
"Bacon County, Georgia",,,,
    Estimate,"10,324","2,511",0,
"Baker County, Georgia",,,,
    Estimate,"2,764",733,124,
"Baldwin County, Georgia",,,,
    Estimate,"37,130","7,986","1,886",
"Banks County, Georgia",,,,
    Estimate,"18,643","2,061",113,
"Barrow County, Georgia",,,,
    Estimate,"86,143","8,217",342,
"Bartow County, Georgia",,,,
    Estimate,"108,397","11,218",439,
"Ben Hill County, Georgia",,,,
    Estimate,"15,951","3,931",121,
"Berrien County, Georgia",,,,
    Estimate,"17,494","3,495",70,
"Bibb County, Georgia",,,,
    Estimate,"144,754","35,436","1,595",
"Bleckley County, Georgia",,,,
    Estimate,"10,901","2,091",68,
"Brantley County, Georgia",,,,
    Estimate,"17,705","2,995",49,
"Brooks County, Georgia",,,,
    Estimate,"15,504","3,859",104,
