"Label (Grouping)","Total"
"Kenai Peninsula Borough, Alaska",""
"    Estimate","60,413"
"    Margin of Error","*****"
"Ketchikan Gateway Borough, Alaska",""
"    Estimate","13,768"
"    Margin of Error","*****"
"Kodiak Island Borough, Alaska",""
"    Estimate","12,771"
"    Margin of Error","*****"
"Kusilvak Census Area, Alaska",""
"    Estimate","8,176"
"    Margin of Error","*****"
"Lake and Peninsula Borough, Alaska",""
"    Estimate","1,013"
"    Margin of Error","±81"
"Matanuska-Susitna Borough, Alaska",""
"    Estimate","112,988"
"    Margin of Error","*****"
"Nome Census Area, Alaska",""
"    Estimate","9,866"
"    Margin of Error","*****"
"North Slope Borough, Alaska",""
"    Estimate","10,810"
"    Margin of Error","*****"
"Northwest Arctic Borough, Alaska",""
"    Estimate","7,441"
"    Margin of Error","*****"
"Petersburg Borough, Alaska",""
"    Estimate","3,409"
"    Margin of Error","*****"
"Prince of Wales-Hyder Census Area, Alaska",""
"    Estimate","5,715"
"    Margin of Error","*****"
"Sitka City and Borough, Alaska",""
"    Estimate","8,368"
"    Margin of Error","*****"
"Skagway Municipality, Alaska",""
"    Estimate","1,244"
"    Margin of Error","±102"
"Southeast Fairbanks Census Area, Alaska",""
"    Estimate","7,068"
"    Margin of Error","*****"
"Wrangell City and Borough, Alaska",""
"    Estimate","2,088"
"    Margin of Error","*****"
"Yakutat City and Borough, Alaska",""
"    Estimate","527"
"    Margin of Error","±63"
"Yukon-Koyukuk Census Area, Alaska",""
"    Estimate","5,195"
"    Margin of Error","*****"
"Apache County, Arizona",""
"    Estimate","65,341"
"    Margin of Error","*****"
"Cochise County, Arizona",""
"    Estimate","125,566"
"    Margin of Error","*****"
"Coconino County, Arizona",""
"    Estimate","144,508"
"    Margin of Error","*****"
"Gila County, Arizona",""
"    Estimate","53,795"
"    Margin of Error","*****"
"Graham County, Arizona",""
"    Estimate","39,232"
"    Margin of Error","*****"
"Greenlee County, Arizona",""
"    Estimate","9,409"
"    Margin of Error","*****"
"La Paz County, Arizona",""
"    Estimate","16,664"
"    Margin of Error","*****"
"Maricopa County, Arizona",""
"    Estimate","4,559,748"
"    Margin of Error","*****"
"Mohave County, Arizona",""
"    Estimate","220,517"
"    Margin of Error","*****"
"Navajo County, Arizona",""
"    Estimate","108,415"
"    Margin of Error","*****"
"Pima County, Arizona",""
"    Estimate","1,060,490"
"    Margin of Error","*****"
"Pinal County, Arizona",""
"    Estimate","469,006"
"    Margin of Error","*****"
"Santa Cruz County, Arizona",""
"    Estimate","48,926"
"    Margin of Error","*****"
"Yavapai County, Arizona",""
"    Estimate","245,480"
"    Margin of Error","*****"
"Yuma County, Arizona",""
"    Estimate","211,741"
"    Margin of Error","*****"
"Arkansas County, Arkansas",""
"    Estimate","16,515"
"    Margin of Error","*****"
"Ashley County, Arkansas",""
"    Estimate","18,429"
"    Margin of Error","*****"
"Baxter County, Arkansas",""
"    Estimate","42,407"
"    Margin of Error","*****"
"Benton County, Arkansas",""
"    Estimate","303,632"
"    Margin of Error","*****"
"Boone County, Arkansas",""
"    Estimate","38,138"
"    Margin of Error","*****"
"Bradley County, Arkansas",""
"    Estimate","10,208"
"    Margin of Error","*****"
"Calhoun County, Arkansas",""
"    Estimate","4,704"
"    Margin of Error","*****"
"Carroll County, Arkansas",""
"    Estimate","28,626"
"    Margin of Error","*****"
"Chicot County, Arkansas",""
"    Estimate","9,765"
"    Margin of Error","*****"
"Clark County, Arkansas",""
"    Estimate","21,125"
"    Margin of Error","*****"
"Clay County, Arkansas",""
"    Estimate","14,280"
"    Margin of Error","*****"
"Cleburne County, Arkansas",""
"    Estimate","25,226"
"    Margin of Error","*****"
"Cleveland County, Arkansas",""
"    Estimate","7,453"
"    Margin of Error","*****"
"Columbia County, Arkansas",""
"    Estimate","22,349"
"    Margin of Error","*****"
"Conway County, Arkansas",""
"    Estimate","21,054"
"    Margin of Error","*****"
"Craighead County, Arkansas",""
"    Estimate","113,249"
"    Margin of Error","*****"
"Crawford County, Arkansas",""
"    Estimate","61,139"
"    Margin of Error","*****"
"Crittenden County, Arkansas",""
"    Estimate","47,266"
"    Margin of Error","*****"
"Cross County, Arkansas",""
"    Estimate","16,543"
"    Margin of Error","*****"
"Dallas County, Arkansas",""
"    Estimate","6,242"
"    Margin of Error","*****"
"Desha County, Arkansas",""
"    Estimate","10,786"
"    Margin of Error","*****"
"Drew County, Arkansas",""
"    Estimate","17,046"
"    Margin of Error","*****"
"Faulkner County, Arkansas",""
"    Estimate","127,717"
"    Margin of Error","*****"
"Franklin County, Arkansas",""
"    Estimate","17,326"
"    Margin of Error","*****"
"Fulton County, Arkansas",""
"    Estimate","12,302"
"    Margin of Error","*****"
"Garland County, Arkansas",""
"    Estimate","100,035"
"    Margin of Error","*****"
"Grant County, Arkansas",""
"    Estimate","18,242"
"    Margin of Error","*****"
"Greene County, Arkansas",""
"    Estimate","46,432"
"    Margin of Error","*****"
"Hempstead County, Arkansas",""
"    Estimate","19,508"
"    Margin of Error","*****"
"Hot Spring County, Arkansas",""
"    Estimate","33,180"
"    Margin of Error","*****"
"Howard County, Arkansas",""
"    Estimate","12,583"
"    Margin of Error","*****"
"Independence County, Arkansas",""
"    Estimate","38,175"
"    Margin of Error","*****"
"Izard County, Arkansas",""
"    Estimate","14,009"
"    Margin of Error","*****"
"Jackson County, Arkansas",""
"    Estimate","16,712"
"    Margin of Error","*****"
"Jefferson County, Arkansas",""
"    Estimate","64,802"
"    Margin of Error","*****"
"Johnson County, Arkansas",""
"    Estimate","26,003"
"    Margin of Error","*****"
"Lafayette County, Arkansas",""
"    Estimate","6,136"
"    Margin of Error","*****"
"Lawrence County, Arkansas",""
"    Estimate","16,238"
"    Margin of Error","*****"
"Lee County, Arkansas",""
"    Estimate","8,359"
"    Margin of Error","*****"
"Lincoln County, Arkansas",""
"    Estimate","12,950"
"    Margin of Error","*****"
"Little River County, Arkansas",""
"    Estimate","11,821"
"    Margin of Error","*****"
"Logan County, Arkansas",""
"    Estimate","21,277"
"    Margin of Error","*****"
"Lonoke County, Arkansas",""
"    Estimate","75,272"
"    Margin of Error","*****"
"Madison County, Arkansas",""
"    Estimate","17,329"
"    Margin of Error","*****"
"Marion County, Arkansas",""
"    Estimate","17,228"
"    Margin of Error","*****"
"Miller County, Arkansas",""
"    Estimate","42,360"
"    Margin of Error","*****"
"Mississippi County, Arkansas",""
"    Estimate","39,126"
"    Margin of Error","*****"
"Monroe County, Arkansas",""
"    Estimate","6,589"
"    Margin of Error","*****"
"Montgomery County, Arkansas",""
"    Estimate","8,553"
"    Margin of Error","*****"
"Nevada County, Arkansas",""
"    Estimate","8,159"
"    Margin of Error","*****"
"Newton County, Arkansas",""
"    Estimate","7,112"
"    Margin of Error","*****"
"Ouachita County, Arkansas",""
"    Estimate","22,085"
"    Margin of Error","*****"
"Perry County, Arkansas",""
"    Estimate","10,101"
"    Margin of Error","*****"
"Phillips County, Arkansas",""
"    Estimate","15,450"
"    Margin of Error","*****"
"Pike County, Arkansas",""
"    Estimate","10,115"
"    Margin of Error","*****"
"Poinsett County, Arkansas",""
"    Estimate","22,543"
"    Margin of Error","*****"
"Polk County, Arkansas",""
"    Estimate","19,361"
"    Margin of Error","*****"
"Pope County, Arkansas",""
"    Estimate","64,131"
"    Margin of Error","*****"
"Prairie County, Arkansas",""
"    Estimate","8,064"
"    Margin of Error","*****"
"Pulaski County, Arkansas",""
"    Estimate","399,818"
"    Margin of Error","*****"
"Randolph County, Arkansas",""
"    Estimate","18,838"
"    Margin of Error","*****"
"St. Francis County, Arkansas",""
"    Estimate","22,400"
"    Margin of Error","*****"
"Saline County, Arkansas",""
"    Estimate","127,479"
"    Margin of Error","*****"
"Scott County, Arkansas",""
"    Estimate","9,816"
"    Margin of Error","*****"
"Searcy County, Arkansas",""
"    Estimate","7,859"
"    Margin of Error","*****"
"Sebastian County, Arkansas",""
"    Estimate","128,900"
"    Margin of Error","*****"
"Sevier County, Arkansas",""
"    Estimate","15,712"
"    Margin of Error","*****"
"Sharp County, Arkansas",""
"    Estimate","17,773"
"    Margin of Error","*****"
"Stone County, Arkansas",""
"    Estimate","12,568"
"    Margin of Error","*****"
"Union County, Arkansas",""
"    Estimate","37,900"
"    Margin of Error","*****"
"Van Buren County, Arkansas",""
"    Estimate","15,998"
"    Margin of Error","*****"
"Washington County, Arkansas",""
"    Estimate","256,765"
"    Margin of Error","*****"
"White County, Arkansas",""
"    Estimate","77,838"
"    Margin of Error","*****"
"Woodruff County, Arkansas",""
"    Estimate","6,026"
"    Margin of Error","*****"
"Yell County, Arkansas",""
"    Estimate","20,134"
"    Margin of Error","*****"
"Alameda County, California",""
"    Estimate","1,649,473"
"    Margin of Error","*****"
"Alpine County, California",""
"    Estimate","1,616"
"    Margin of Error","±239"
"Amador County, California",""
"    Estimate","41,428"
"    Margin of Error","*****"
"Butte County, California",""
"    Estimate","207,929"
"    Margin of Error","*****"
"Calaveras County, California",""
"    Estimate","46,248"
"    Margin of Error","*****"
"Colusa County, California",""
"    Estimate","21,984"
"    Margin of Error","*****"
"Contra Costa County, California",""
"    Estimate","1,165,012"
"    Margin of Error","*****"
"Del Norte County, California",""
"    Estimate","27,107"
"    Margin of Error","*****"
"El Dorado County, California",""
"    Estimate","192,662"
"    Margin of Error","*****"
"Fresno County, California",""
"    Estimate","1,016,725"
"    Margin of Error","*****"
"Glenn County, California",""
"    Estimate","28,494"
"    Margin of Error","*****"
"Humboldt County, California",""
"    Estimate","134,541"
"    Margin of Error","*****"
"Imperial County, California",""
"    Estimate","180,202"
"    Margin of Error","*****"
"Inyo County, California",""
"    Estimate","18,739"
"    Margin of Error","*****"
"Kern County, California",""
"    Estimate","915,075"
"    Margin of Error","*****"
"Kings County, California",""
"    Estimate","153,298"
"    Margin of Error","*****"
"Lake County, California",""
"    Estimate","68,152"
"    Margin of Error","*****"
"Lassen County, California",""
"    Estimate","30,356"
"    Margin of Error","*****"
"Los Angeles County, California",""
"    Estimate","9,808,667"
"    Margin of Error","*****"
"Madera County, California",""
"    Estimate","160,940"
"    Margin of Error","*****"
"Marin County, California",""
"    Estimate","257,969"
"    Margin of Error","*****"
"Mariposa County, California",""
"    Estimate","17,082"
"    Margin of Error","*****"
"Mendocino County, California",""
"    Estimate","90,244"
"    Margin of Error","*****"
"Merced County, California",""
"    Estimate","290,201"
"    Margin of Error","*****"
"Modoc County, California",""
"    Estimate","8,600"
"    Margin of Error","*****"
"Mono County, California",""
"    Estimate","13,148"
"    Margin of Error","*****"
"Monterey County, California",""
"    Estimate","437,613"
"    Margin of Error","*****"
"Napa County, California",""
"    Estimate","134,869"
"    Margin of Error","*****"
"Nevada County, California",""
"    Estimate","102,481"
"    Margin of Error","*****"
"Orange County, California",""
"    Estimate","3,165,820"
"    Margin of Error","*****"
"Placer County, California",""
"    Estimate","419,156"
"    Margin of Error","*****"
"Plumas County, California",""
"    Estimate","19,423"
"    Margin of Error","*****"
"Riverside County, California",""
"    Estimate","2,478,600"
"    Margin of Error","*****"
"Sacramento County, California",""
"    Estimate","1,594,006"
"    Margin of Error","*****"
"San Benito County, California",""
"    Estimate","67,290"
"    Margin of Error","*****"
"San Bernardino County, California",""
"    Estimate","2,197,104"
"    Margin of Error","*****"
"San Diego County, California",""
"    Estimate","3,288,774"
"    Margin of Error","*****"
"San Francisco County, California",""
"    Estimate","830,235"
"    Margin of Error","*****"
"San Joaquin County, California",""
"    Estimate","797,334"
"    Margin of Error","*****"
"San Luis Obispo County, California",""
"    Estimate","281,555"
"    Margin of Error","*****"
"San Mateo County, California",""
"    Estimate","742,340"
"    Margin of Error","*****"
"Santa Barbara County, California",""
"    Estimate","443,701"
"    Margin of Error","*****"
"Santa Clara County, California",""
"    Estimate","1,902,047"
"    Margin of Error","*****"
"Santa Cruz County, California",""
"    Estimate","264,926"
"    Margin of Error","*****"
"Shasta County, California",""
"    Estimate","181,436"
"    Margin of Error","*****"
"Sierra County, California",""
"    Estimate","2,746"
"    Margin of Error","±239"
"Siskiyou County, California",""
"    Estimate","43,466"
"    Margin of Error","*****"
"Solano County, California",""
"    Estimate","451,918"
"    Margin of Error","*****"
"Sonoma County, California",""
"    Estimate","485,040"
"    Margin of Error","*****"
"Stanislaus County, California",""
"    Estimate","553,990"
"    Margin of Error","*****"
"Sutter County, California",""
"    Estimate","98,857"
"    Margin of Error","*****"
"Tehama County, California",""
"    Estimate","65,167"
"    Margin of Error","*****"
"Trinity County, California",""
"    Estimate","15,860"
"    Margin of Error","*****"
"Tulare County, California",""
"    Estimate","478,693"
"    Margin of Error","*****"
"Tuolumne County, California",""
"    Estimate","54,498"
"    Margin of Error","*****"
"Ventura County, California",""
"    Estimate","837,469"
"    Margin of Error","*****"
"Yolo County, California",""
"    Estimate","220,564"
"    Margin of Error","*****"
"Yuba County, California",""
"    Estimate","84,507"
"    Margin of Error","*****"
"Adams County, Colorado",""
"    Estimate","530,225"
"    Margin of Error","*****"
"Alamosa County, Colorado",""
"    Estimate","16,581"
"    Margin of Error","*****"
"Arapahoe County, Colorado",""
"    Estimate","659,844"
"    Margin of Error","*****"
"Archuleta County, Colorado",""
"    Estimate","13,900"
"    Margin of Error","*****"
"Baca County, Colorado",""
"    Estimate","3,428"
"    Margin of Error","*****"
"Bent County, Colorado",""
"    Estimate","5,549"
"    Margin of Error","*****"
"Boulder County, Colorado",""
"    Estimate","328,961"
"    Margin of Error","*****"
"Broomfield County, Colorado",""
"    Estimate","76,304"
"    Margin of Error","*****"
"Chaffee County, Colorado",""
"    Estimate","20,178"
"    Margin of Error","*****"
"Cheyenne County, Colorado",""
"    Estimate","1,741"
"    Margin of Error","±133"
"Clear Creek County, Colorado",""
"    Estimate","9,262"
"    Margin of Error","*****"
"Conejos County, Colorado",""
"    Estimate","7,530"
"    Margin of Error","*****"
"Costilla County, Colorado",""
"    Estimate","3,607"
"    Margin of Error","*****"
"Crowley County, Colorado",""
"    Estimate","5,647"
"    Margin of Error","*****"
"Custer County, Colorado",""
"    Estimate","5,247"
"    Margin of Error","*****"
"Delta County, Colorado",""
"    Estimate","31,598"
"    Margin of Error","*****"
"Denver County, Colorado",""
"    Estimate","718,877"
"    Margin of Error","*****"
"Dolores County, Colorado",""
"    Estimate","2,432"
"    Margin of Error","*****"
"Douglas County, Colorado",""
"    Estimate","377,150"
"    Margin of Error","*****"
"Eagle County, Colorado",""
"    Estimate","55,135"
"    Margin of Error","*****"
"Elbert County, Colorado",""
"    Estimate","27,874"
"    Margin of Error","*****"
"El Paso County, Colorado",""
"    Estimate","742,999"
"    Margin of Error","*****"
"Fremont County, Colorado",""
"    Estimate","49,634"
"    Margin of Error","*****"
"Garfield County, Colorado",""
"    Estimate","62,479"
"    Margin of Error","*****"
"Gilpin County, Colorado",""
"    Estimate","5,901"
"    Margin of Error","*****"
"Grand County, Colorado",""
"    Estimate","15,895"
"    Margin of Error","*****"
"Gunnison County, Colorado",""
"    Estimate","17,241"
"    Margin of Error","*****"
"Hinsdale County, Colorado",""
"    Estimate","1,005"
"    Margin of Error","±117"
"Huerfano County, Colorado",""
"    Estimate","6,972"
"    Margin of Error","*****"
"Jackson County, Colorado",""
"    Estimate","1,372"
"    Margin of Error","±122"
"Jefferson County, Colorado",""
"    Estimate","579,377"
"    Margin of Error","*****"
"Kiowa County, Colorado",""
"    Estimate","1,376"
"    Margin of Error","±122"
"Kit Carson County, Colorado",""
"    Estimate","7,023"
"    Margin of Error","*****"
"Lake County, Colorado",""
"    Estimate","7,380"
"    Margin of Error","*****"
"La Plata County, Colorado",""
"    Estimate","56,331"
"    Margin of Error","*****"
"Larimer County, Colorado",""
"    Estimate","367,368"
"    Margin of Error","*****"
"Las Animas County, Colorado",""
"    Estimate","14,413"
"    Margin of Error","*****"
"Lincoln County, Colorado",""
"    Estimate","5,550"
"    Margin of Error","*****"
"Logan County, Colorado",""
"    Estimate","20,892"
"    Margin of Error","*****"
"Mesa County, Colorado",""
"    Estimate","158,601"
"    Margin of Error","*****"
"Mineral County, Colorado",""
"    Estimate","729"
"    Margin of Error","±113"
"Moffat County, Colorado",""
"    Estimate","13,207"
"    Margin of Error","*****"
"Montezuma County, Colorado",""
"    Estimate","26,412"
"    Margin of Error","*****"
"Montrose County, Colorado",""
"    Estimate","43,807"
"    Margin of Error","*****"
"Morgan County, Colorado",""
"    Estimate","29,520"
"    Margin of Error","*****"
"Otero County, Colorado",""
"    Estimate","18,321"
"    Margin of Error","*****"
"Ouray County, Colorado",""
"    Estimate","5,087"
"    Margin of Error","*****"
"Park County, Colorado",""
"    Estimate","17,907"
"    Margin of Error","*****"
"Phillips County, Colorado",""
"    Estimate","4,496"
"    Margin of Error","*****"
"Pitkin County, Colorado",""
"    Estimate","16,985"
"    Margin of Error","*****"
"Prowers County, Colorado",""
"    Estimate","11,910"
"    Margin of Error","*****"
"Pueblo County, Colorado",""
"    Estimate","169,356"
"    Margin of Error","*****"
"Rio Blanco County, Colorado",""
"    Estimate","6,544"
"    Margin of Error","*****"
"Rio Grande County, Colorado",""
"    Estimate","11,321"
"    Margin of Error","*****"
"Routt County, Colorado",""
"    Estimate","25,084"
"    Margin of Error","*****"
"Saguache County, Colorado",""
"    Estimate","6,580"
"    Margin of Error","*****"
"San Juan County, Colorado",""
"    Estimate","724"
"    Margin of Error","±107"
"San Miguel County, Colorado",""
"    Estimate","7,968"
"    Margin of Error","*****"
"Sedgwick County, Colorado",""
"    Estimate","2,304"
"    Margin of Error","±133"
"Summit County, Colorado",""
"    Estimate","31,017"
"    Margin of Error","*****"
"Teller County, Colorado",""
"    Estimate","24,825"
"    Margin of Error","*****"
"Washington County, Colorado",""
"    Estimate","4,831"
"    Margin of Error","*****"
"Weld County, Colorado",""
"    Estimate","350,396"
"    Margin of Error","*****"
"Yuma County, Colorado",""
"    Estimate","9,979"
"    Margin of Error","*****"
"Capitol Planning Region, Connecticut",""
"    Estimate","977,290"
"    Margin of Error","*****"
"Greater Bridgeport Planning Region, Connecticut",""
"    Estimate","329,259"
"    Margin of Error","*****"
"Lower Connecticut River Valley Planning Region, Connecticut",""
"    Estimate","175,822"
"    Margin of Error","*****"
"Naugatuck Valley Planning Region, Connecticut",""
"    Estimate","454,969"
"    Margin of Error","*****"
"Northeastern Connecticut Planning Region, Connecticut",""
"    Estimate","96,312"
"    Margin of Error","*****"
"Northwest Hills Planning Region, Connecticut",""
"    Estimate","113,216"
"    Margin of Error","*****"
"South Central Connecticut Planning Region, Connecticut",""
"    Estimate","570,598"
"    Margin of Error","*****"
"Southeastern Connecticut Planning Region, Connecticut",""
"    Estimate","279,971"
"    Margin of Error","*****"
"Western Connecticut Planning Region, Connecticut",""
"    Estimate","627,071"
"    Margin of Error","*****"
"Kent County, Delaware",""
"    Estimate","187,604"
"    Margin of Error","*****"
"New Castle County, Delaware",""
"    Estimate","577,961"
"    Margin of Error","*****"
"Sussex County, Delaware",""
"    Estimate","255,626"
"    Margin of Error","*****"
"District of Columbia, District of Columbia",""
"    Estimate","681,294"
"    Margin of Error","*****"
"Alachua County, Florida",""
"    Estimate","285,492"
"    Margin of Error","*****"
"Baker County, Florida",""
"    Estimate","28,430"
"    Margin of Error","*****"
"Bay County, Florida",""
"    Estimate","186,393"
"    Margin of Error","*****"
"Bradford County, Florida",""
"    Estimate","27,885"
"    Margin of Error","*****"
"Brevard County, Florida",""
"    Estimate","632,780"
"    Margin of Error","*****"
"Broward County, Florida",""
"    Estimate","1,977,129"
"    Margin of Error","*****"
"Calhoun County, Florida",""
"    Estimate","13,492"
"    Margin of Error","*****"
"Charlotte County, Florida",""
"    Estimate","201,064"
"    Margin of Error","*****"
"Citrus County, Florida",""
"    Estimate","162,472"
"    Margin of Error","*****"
"Clay County, Florida",""
"    Estimate","227,584"
"    Margin of Error","*****"
"Collier County, Florida",""
"    Estimate","398,291"
"    Margin of Error","*****"
"Columbia County, Florida",""
"    Estimate","71,789"
"    Margin of Error","*****"
"DeSoto County, Florida",""
"    Estimate","35,386"
"    Margin of Error","*****"
"Dixie County, Florida",""
"    Estimate","17,058"
"    Margin of Error","*****"
"Duval County, Florida",""
"    Estimate","1,023,153"
"    Margin of Error","*****"
"Escambia County, Florida",""
"    Estimate","325,923"
"    Margin of Error","*****"
"Flagler County, Florida",""
"    Estimate","126,528"
"    Margin of Error","*****"
"Franklin County, Florida",""
"    Estimate","12,553"
"    Margin of Error","*****"
"Gadsden County, Florida",""
"    Estimate","43,710"
"    Margin of Error","*****"
"Gilchrist County, Florida",""
"    Estimate","19,040"
"    Margin of Error","*****"
"Glades County, Florida",""
"    Estimate","12,563"
"    Margin of Error","*****"
"Gulf County, Florida",""
"    Estimate","15,131"
"    Margin of Error","*****"
"Hamilton County, Florida",""
"    Estimate","13,616"
"    Margin of Error","*****"
"Hardee County, Florida",""
"    Estimate","25,675"
"    Margin of Error","*****"
"Hendry County, Florida",""
"    Estimate","42,382"
"    Margin of Error","*****"
"Hernando County, Florida",""
"    Estimate","207,018"
"    Margin of Error","*****"
"Highlands County, Florida",""
"    Estimate","105,702"
"    Margin of Error","*****"
"Hillsborough County, Florida",""
"    Estimate","1,522,748"
"    Margin of Error","*****"
"Holmes County, Florida",""
"    Estimate","19,513"
"    Margin of Error","*****"
"Indian River County, Florida",""
"    Estimate","166,936"
"    Margin of Error","*****"
"Jackson County, Florida",""
"    Estimate","48,250"
"    Margin of Error","*****"
"Jefferson County, Florida",""
"    Estimate","15,091"
