"Label (Grouping)","HOUSING TENURE!!Occupied housing units!!Owner-occupied"
"    Percent","68.6%"
"Kodiak Island Borough, Alaska",""
"    Estimate","2,834"
"    Percent","61.1%"
"Kusilvak Census Area, Alaska",""
"    Estimate","1,338"
"    Percent","69.8%"
"Lake and Peninsula Borough, Alaska",""
"    Estimate","212"
"    Percent","65.4%"
"Matanuska-Susitna Borough, Alaska",""
"    Estimate","30,792"
"    Percent","77.2%"
"Nome Census Area, Alaska",""
"    Estimate","1,882"
"    Percent","66.8%"
"North Slope Borough, Alaska",""
"    Estimate","1,121"
"    Percent","49.1%"
"Northwest Arctic Borough, Alaska",""
"    Estimate","1,175"
"    Percent","64.4%"
"Petersburg Borough, Alaska",""
"    Estimate","901"
"    Percent","65.7%"
"Prince of Wales-Hyder Census Area, Alaska",""
"    Estimate","1,707"
"    Percent","70.6%"
"Sitka City and Borough, Alaska",""
"    Estimate","2,123"
"    Percent","61.7%"
"Skagway Municipality, Alaska",""
"    Estimate","319"
"    Percent","70.9%"
"Southeast Fairbanks Census Area, Alaska",""
"    Estimate","1,865"
"    Percent","74.7%"
"Wrangell City and Borough, Alaska",""
"    Estimate","577"
"    Percent","59.1%"
"Yakutat City and Borough, Alaska",""
"    Estimate","116"
"    Percent","56.3%"
"Yukon-Koyukuk Census Area, Alaska",""
"    Estimate","1,605"
"    Percent","69.9%"
"Apache County, Arizona",""
"    Estimate","16,761"
"    Percent","79.4%"
"Cochise County, Arizona",""
"    Estimate","36,213"
"    Percent","71.0%"
"Coconino County, Arizona",""
"    Estimate","32,909"
"    Percent","59.7%"
"Gila County, Arizona",""
"    Estimate","18,329"
"    Percent","77.5%"
"Graham County, Arizona",""
"    Estimate","9,322"
"    Percent","73.1%"
"Greenlee County, Arizona",""
"    Estimate","1,904"
"    Percent","53.0%"
"La Paz County, Arizona",""
"    Estimate","6,459"
"    Percent","72.1%"
"Maricopa County, Arizona",""
"    Estimate","1,127,888"
"    Percent","65.2%"
"Mohave County, Arizona",""
"    Estimate","75,535"
"    Percent","74.1%"
"Navajo County, Arizona",""
"    Estimate","29,321"
"    Percent","73.2%"
"Pima County, Arizona",""
"    Estimate","285,639"
"    Percent","65.2%"
"Pinal County, Arizona",""
"    Estimate","132,318"
"    Percent","81.7%"
"Santa Cruz County, Arizona",""
"    Estimate","11,749"
"    Percent","69.3%"
"Yavapai County, Arizona",""
"    Estimate","83,441"
"    Percent","75.1%"
"Yuma County, Arizona",""
"    Estimate","56,310"
"    Percent","71.0%"
"Arkansas County, Arkansas",""
"    Estimate","4,330"
"    Percent","64.6%"
"Ashley County, Arkansas",""
"    Estimate","5,210"
"    Percent","70.8%"
"Baxter County, Arkansas",""
"    Estimate","14,549"
"    Percent","75.2%"
"Benton County, Arkansas",""
"    Estimate","75,000"
"    Percent","67.0%"
"Boone County, Arkansas",""
"    Estimate","10,878"
"    Percent","70.8%"
"Bradley County, Arkansas",""
"    Estimate","2,475"
"    Percent","66.0%"
"Calhoun County, Arkansas",""
"    Estimate","1,484"
"    Percent","87.8%"
"Carroll County, Arkansas",""
"    Estimate","8,792"
"    Percent","77.5%"
"Chicot County, Arkansas",""
"    Estimate","2,745"
"    Percent","69.2%"
"Clark County, Arkansas",""
"    Estimate","5,278"
"    Percent","65.0%"
"Clay County, Arkansas",""
"    Estimate","4,499"
"    Percent","74.7%"
"Cleburne County, Arkansas",""
"    Estimate","8,480"
"    Percent","80.6%"
"Cleveland County, Arkansas",""
"    Estimate","2,422"
"    Percent","82.6%"
"Columbia County, Arkansas",""
"    Estimate","5,948"
"    Percent","70.7%"
"Conway County, Arkansas",""
"    Estimate","6,133"
"    Percent","74.1%"
"Craighead County, Arkansas",""
"    Estimate","26,712"
"    Percent","60.1%"
"Crawford County, Arkansas",""
"    Estimate","17,627"
"    Percent","75.5%"
"Crittenden County, Arkansas",""
"    Estimate","10,440"
"    Percent","57.4%"
"Cross County, Arkansas",""
"    Estimate","4,378"
"    Percent","67.5%"
"Dallas County, Arkansas",""
"    Estimate","1,858"
"    Percent","72.6%"
"Desha County, Arkansas",""
"    Estimate","2,619"
"    Percent","56.8%"
"Drew County, Arkansas",""
"    Estimate","4,585"
"    Percent","63.7%"
"Faulkner County, Arkansas",""
"    Estimate","30,718"
"    Percent","62.3%"
"Franklin County, Arkansas",""
"    Estimate","5,494"
"    Percent","78.0%"
"Fulton County, Arkansas",""
"    Estimate","4,029"
"    Percent","84.7%"
"Garland County, Arkansas",""
"    Estimate","30,296"
"    Percent","69.4%"
"Grant County, Arkansas",""
"    Estimate","5,634"
"    Percent","80.7%"
"Greene County, Arkansas",""
"    Estimate","11,910"
"    Percent","66.2%"
"Hempstead County, Arkansas",""
"    Estimate","5,366"
"    Percent","71.7%"
"Hot Spring County, Arkansas",""
"    Estimate","9,414"
"    Percent","76.5%"
"Howard County, Arkansas",""
"    Estimate","3,698"
"    Percent","72.5%"
"Independence County, Arkansas",""
"    Estimate","10,128"
"    Percent","69.2%"
"Izard County, Arkansas",""
"    Estimate","3,946"
"    Percent","75.4%"
"Jackson County, Arkansas",""
"    Estimate","3,978"
"    Percent","65.5%"
"Jefferson County, Arkansas",""
"    Estimate","14,839"
"    Percent","61.8%"
"Johnson County, Arkansas",""
"    Estimate","7,641"
"    Percent","74.1%"
"Lafayette County, Arkansas",""
"    Estimate","2,078"
"    Percent","79.3%"
"Lawrence County, Arkansas",""
"    Estimate","4,401"
"    Percent","66.6%"
"Lee County, Arkansas",""
"    Estimate","1,586"
"    Percent","59.0%"
"Lincoln County, Arkansas",""
"    Estimate","2,733"
"    Percent","76.1%"
"Little River County, Arkansas",""
"    Estimate","3,859"
"    Percent","80.1%"
"Logan County, Arkansas",""
"    Estimate","6,680"
"    Percent","78.4%"
"Lonoke County, Arkansas",""
"    Estimate","21,403"
"    Percent","75.0%"
"Madison County, Arkansas",""
"    Estimate","5,139"
"    Percent","79.5%"
"Marion County, Arkansas",""
"    Estimate","6,234"
"    Percent","81.3%"
"Miller County, Arkansas",""
"    Estimate","10,530"
"    Percent","64.4%"
"Mississippi County, Arkansas",""
"    Estimate","9,264"
"    Percent","60.0%"
"Monroe County, Arkansas",""
"    Estimate","1,746"
"    Percent","62.6%"
"Montgomery County, Arkansas",""
"    Estimate","2,993"
"    Percent","80.6%"
"Nevada County, Arkansas",""
"    Estimate","2,471"
"    Percent","76.0%"
"Newton County, Arkansas",""
"    Estimate","2,433"
"    Percent","76.5%"
"Ouachita County, Arkansas",""
"    Estimate","6,117"
"    Percent","70.9%"
"Perry County, Arkansas",""
"    Estimate","3,291"
"    Percent","80.4%"
"Phillips County, Arkansas",""
"    Estimate","3,083"
"    Percent","51.2%"
"Pike County, Arkansas",""
"    Estimate","3,061"
"    Percent","75.0%"
"Poinsett County, Arkansas",""
"    Estimate","5,666"
"    Percent","64.4%"
"Polk County, Arkansas",""
"    Estimate","6,232"
"    Percent","78.9%"
"Pope County, Arkansas",""
"    Estimate","17,137"
"    Percent","70.4%"
"Prairie County, Arkansas",""
"    Estimate","2,467"
"    Percent","75.8%"
"Pulaski County, Arkansas",""
"    Estimate","98,266"
"    Percent","57.0%"
"Randolph County, Arkansas",""
"    Estimate","5,394"
"    Percent","73.5%"
"St. Francis County, Arkansas",""
"    Estimate","4,319"
"    Percent","55.5%"
"Saline County, Arkansas",""
"    Estimate","39,268"
"    Percent","78.2%"
"Scott County, Arkansas",""
"    Estimate","3,112"
"    Percent","78.1%"
"Searcy County, Arkansas",""
"    Estimate","2,538"
"    Percent","79.4%"
"Sebastian County, Arkansas",""
"    Estimate","32,034"
"    Percent","61.4%"
"Sevier County, Arkansas",""
"    Estimate","3,802"
"    Percent","67.6%"
"Sharp County, Arkansas",""
"    Estimate","5,405"
"    Percent","78.8%"
"Stone County, Arkansas",""
"    Estimate","3,996"
"    Percent","75.9%"
"Union County, Arkansas",""
"    Estimate","10,905"
"    Percent","72.7%"
"Van Buren County, Arkansas",""
"    Estimate","5,788"
"    Percent","77.9%"
"Washington County, Arkansas",""
"    Estimate","54,053"
"    Percent","55.6%"
"White County, Arkansas",""
"    Estimate","20,482"
"    Percent","69.1%"
"Woodruff County, Arkansas",""
"    Estimate","1,743"
"    Percent","64.7%"
"Yell County, Arkansas",""
"    Estimate","5,622"
"    Percent","67.5%"
"Alameda County, California",""
"    Estimate","325,509"
"    Percent","54.4%"
"Alpine County, California",""
"    Estimate","340"
"    Percent","78.2%"
"Amador County, California",""
"    Estimate","12,941"
"    Percent","80.4%"
"Butte County, California",""
"    Estimate","47,717"
"    Percent","57.3%"
"Calaveras County, California",""
"    Estimate","15,480"
"    Percent","84.0%"
"Colusa County, California",""
"    Estimate","4,674"
"    Percent","62.2%"
"Contra Costa County, California",""
"    Estimate","281,819"
"    Percent","68.0%"
"Del Norte County, California",""
"    Estimate","6,673"
"    Percent","70.1%"
"El Dorado County, California",""
"    Estimate","58,844"
"    Percent","77.2%"
"Fresno County, California",""
"    Estimate","180,371"
"    Percent","55.5%"
"Glenn County, California",""
"    Estimate","6,002"
"    Percent","61.2%"
"Humboldt County, California",""
"    Estimate","31,053"
"    Percent","56.5%"
"Imperial County, California",""
"    Estimate","28,210"
"    Percent","56.8%"
"Inyo County, California",""
"    Estimate","5,339"
"    Percent","66.4%"
"Kern County, California",""
"    Estimate","171,133"
"    Percent","60.1%"
"Kings County, California",""
"    Estimate","23,870"
"    Percent","54.2%"
"Lake County, California",""
"    Estimate","19,441"
"    Percent","72.2%"
"Lassen County, California",""
"    Estimate","6,305"
"    Percent","68.2%"
"Los Angeles County, California",""
"    Estimate","1,567,983"
"    Percent","45.9%"
"Madera County, California",""
"    Estimate","30,613"
"    Percent","67.5%"
"Marin County, California",""
"    Estimate","66,616"
"    Percent","64.7%"
"Mariposa County, California",""
"    Estimate","5,611"
"    Percent","74.7%"
"Mendocino County, California",""
"    Estimate","21,500"
"    Percent","61.7%"
"Merced County, California",""
"    Estimate","46,474"
"    Percent","54.0%"
"Modoc County, California",""
"    Estimate","2,530"
"    Percent","77.4%"
"Mono County, California",""
"    Estimate","3,758"
"    Percent","65.4%"
"Monterey County, California",""
"    Estimate","68,993"
"    Percent","52.1%"
"Napa County, California",""
"    Estimate","31,555"
"    Percent","63.4%"
"Nevada County, California",""
"    Estimate","32,342"
"    Percent","75.5%"
"Orange County, California",""
"    Estimate","610,659"
"    Percent","56.4%"
"Placer County, California",""
"    Estimate","118,103"
"    Percent","74.8%"
"Plumas County, California",""
"    Estimate","6,006"
"    Percent","74.6%"
"Riverside County, California",""
"    Estimate","535,986"
"    Percent","69.1%"
"Sacramento County, California",""
"    Estimate","337,066"
"    Percent","59.0%"
"San Benito County, California",""
"    Estimate","13,970"
"    Percent","67.9%"
"San Bernardino County, California",""
"    Estimate","418,836"
"    Percent","62.1%"
"San Diego County, California",""
"    Estimate","639,138"
"    Percent","54.6%"
"San Francisco County, California",""
"    Estimate","139,057"
"    Percent","38.2%"
"San Joaquin County, California",""
"    Estimate","152,030"
"    Percent","62.0%"
"San Luis Obispo County, California",""
"    Estimate","67,986"
"    Percent","62.1%"
"San Mateo County, California",""
"    Estimate","154,607"
"    Percent","58.5%"
"Santa Barbara County, California",""
"    Estimate","78,344"
"    Percent","52.4%"
"Santa Clara County, California",""
"    Estimate","363,147"
"    Percent","55.1%"
"Santa Cruz County, California",""
"    Estimate","58,079"
"    Percent","59.9%"
"Shasta County, California",""
"    Estimate","46,694"
"    Percent","65.6%"
"Sierra County, California",""
"    Estimate","879"
"    Percent","72.1%"
"Siskiyou County, California",""
"    Estimate","13,203"
"    Percent","69.2%"
"Solano County, California",""
"    Estimate","99,263"
"    Percent","63.0%"
"Sonoma County, California",""
"    Estimate","119,598"
"    Percent","62.6%"
"Stanislaus County, California",""
"    Estimate","108,828"
"    Percent","61.2%"
"Sutter County, California",""
"    Estimate","20,417"
"    Percent","61.3%"
"Tehama County, California",""
"    Estimate","16,640"
"    Percent","67.1%"
"Trinity County, California",""
"    Estimate","4,006"
"    Percent","71.7%"
"Tulare County, California",""
"    Estimate","83,701"
"    Percent","58.5%"
"Tuolumne County, California",""
"    Estimate","16,771"
"    Percent","73.9%"
"Ventura County, California",""
"    Estimate","181,039"
"    Percent","64.6%"
"Yolo County, California",""
"    Estimate","41,637"
"    Percent","54.3%"
"Yuba County, California",""
"    Estimate","18,182"
"    Percent","63.5%"
"Adams County, Colorado",""
"    Estimate","129,415"
"    Percent","68.6%"
"Alamosa County, Colorado",""
"    Estimate","3,719"
"    Percent","55.9%"
"Arapahoe County, Colorado",""
"    Estimate","166,534"
"    Percent","64.7%"
"Archuleta County, Colorado",""
"    Estimate","4,741"
"    Percent","80.1%"
"Baca County, Colorado",""
"    Estimate","1,185"
"    Percent","71.5%"
"Bent County, Colorado",""
"    Estimate","1,222"
"    Percent","65.2%"
"Boulder County, Colorado",""
"    Estimate","84,900"
"    Percent","62.0%"
"Broomfield County, Colorado",""
"    Estimate","19,925"
"    Percent","62.7%"
"Chaffee County, Colorado",""
"    Estimate","7,311"
"    Percent","74.1%"
"Cheyenne County, Colorado",""
"    Estimate","570"
"    Percent","72.6%"
"Clear Creek County, Colorado",""
"    Estimate","3,817"
"    Percent","81.6%"
"Conejos County, Colorado",""
"    Estimate","2,421"
"    Percent","76.5%"
"Costilla County, Colorado",""
"    Estimate","1,305"
"    Percent","79.0%"
"Crowley County, Colorado",""
"    Estimate","929"
"    Percent","69.5%"
"Custer County, Colorado",""
"    Estimate","2,280"
"    Percent","85.3%"
"Delta County, Colorado",""
"    Estimate","10,100"
"    Percent","77.9%"
"Denver County, Colorado",""
"    Estimate","163,555"
"    Percent","48.8%"
"Dolores County, Colorado",""
"    Estimate","1,020"
"    Percent","81.3%"
"Douglas County, Colorado",""
"    Estimate","108,309"
"    Percent","77.4%"
"Eagle County, Colorado",""
"    Estimate","14,545"
"    Percent","65.9%"
"Elbert County, Colorado",""
"    Estimate","9,507"
"    Percent","95.0%"
"El Paso County, Colorado",""
"    Estimate","192,232"
"    Percent","66.2%"
"Fremont County, Colorado",""
"    Estimate","13,595"
"    Percent","75.6%"
"Garfield County, Colorado",""
"    Estimate","16,292"
"    Percent","69.6%"
"Gilpin County, Colorado",""
"    Estimate","2,732"
"    Percent","87.5%"
"Grand County, Colorado",""
"    Estimate","5,489"
"    Percent","73.4%"
"Gunnison County, Colorado",""
"    Estimate","5,673"
"    Percent","66.8%"
"Hinsdale County, Colorado",""
"    Estimate","389"
"    Percent","76.1%"
"Huerfano County, Colorado",""
"    Estimate","2,328"
"    Percent","75.1%"
"Jackson County, Colorado",""
"    Estimate","468"
"    Percent","71.1%"
"Jefferson County, Colorado",""
"    Estimate","170,969"
"    Percent","70.7%"
"Kiowa County, Colorado",""
"    Estimate","402"
"    Percent","68.7%"
"Kit Carson County, Colorado",""
"    Estimate","2,103"
"    Percent","72.6%"
"Lake County, Colorado",""
"    Estimate","2,284"
"    Percent","75.6%"
"La Plata County, Colorado",""
"    Estimate","17,292"
"    Percent","70.9%"
"Larimer County, Colorado",""
"    Estimate","98,737"
"    Percent","64.0%"
"Las Animas County, Colorado",""
"    Estimate","4,466"
"    Percent","68.6%"
"Lincoln County, Colorado",""
"    Estimate","1,414"
"    Percent","71.7%"
"Logan County, Colorado",""
"    Estimate","5,439"
"    Percent","66.3%"
"Mesa County, Colorado",""
"    Estimate","47,707"
"    Percent","72.5%"
"Mineral County, Colorado",""
"    Estimate","269"
"    Percent","69.7%"
"Moffat County, Colorado",""
"    Estimate","3,738"
"    Percent","69.4%"
"Montezuma County, Colorado",""
"    Estimate","8,591"
"    Percent","76.2%"
"Montrose County, Colorado",""
"    Estimate","13,623"
"    Percent","75.4%"
"Morgan County, Colorado",""
"    Estimate","7,453"
"    Percent","67.3%"
"Otero County, Colorado",""
"    Estimate","5,229"
"    Percent","68.9%"
"Ouray County, Colorado",""
"    Estimate","2,165"
"    Percent","82.5%"
"Park County, Colorado",""
"    Estimate","7,750"
"    Percent","86.2%"
"Phillips County, Colorado",""
"    Estimate","1,403"
"    Percent","71.9%"
"Pitkin County, Colorado",""
"    Estimate","5,790"
"    Percent","62.8%"
"Prowers County, Colorado",""
"    Estimate","3,176"
"    Percent","67.1%"
"Pueblo County, Colorado",""
"    Estimate","47,199"
"    Percent","68.9%"
"Rio Blanco County, Colorado",""
"    Estimate","2,084"
"    Percent","74.3%"
"Rio Grande County, Colorado",""
"    Estimate","3,444"
"    Percent","67.1%"
"Routt County, Colorado",""
"    Estimate","8,573"
"    Percent","76.0%"
"Saguache County, Colorado",""
"    Estimate","2,613"
"    Percent","76.9%"
"San Juan County, Colorado",""
"    Estimate","211"
"    Percent","52.9%"
"San Miguel County, Colorado",""
"    Estimate","2,899"
"    Percent","63.0%"
"Sedgwick County, Colorado",""
"    Estimate","734"
"    Percent","71.8%"
"Summit County, Colorado",""
"    Estimate","9,040"
"    Percent","72.1%"
"Teller County, Colorado",""
"    Estimate","9,605"
"    Percent","81.0%"
"Washington County, Colorado",""
"    Estimate","1,524"
"    Percent","73.6%"
"Weld County, Colorado",""
"    Estimate","94,490"
"    Percent","76.0%"
"Yuma County, Colorado",""
"    Estimate","2,811"
"    Percent","68.9%"
"Capitol Planning Region, Connecticut",""
"    Estimate","257,054"
"    Percent","65.7%"
"Greater Bridgeport Planning Region, Connecticut",""
"    Estimate","78,087"
"    Percent","65.3%"
"Lower Connecticut River Valley Planning Region, Connecticut",""
"    Estimate","56,136"
"    Percent","75.8%"
"Naugatuck Valley Planning Region, Connecticut",""
"    Estimate","123,476"
"    Percent","68.6%"
"Northeastern Connecticut Planning Region, Connecticut",""
"    Estimate","30,453"
"    Percent","77.3%"
"Northwest Hills Planning Region, Connecticut",""
"    Estimate","36,503"
"    Percent","76.3%"
"South Central Connecticut Planning Region, Connecticut",""
"    Estimate","139,620"
"    Percent","60.5%"
"Southeastern Connecticut Planning Region, Connecticut",""
"    Estimate","75,341"
"    Percent","65.1%"
"Western Connecticut Planning Region, Connecticut",""
"    Estimate","156,319"
"    Percent","66.4%"
"Kent County, Delaware",""
"    Estimate","51,808"
"    Percent","72.5%"
"New Castle County, Delaware",""
"    Estimate","154,724"
"    Percent","69.0%"
"Sussex County, Delaware",""
"    Estimate","86,851"
"    Percent","81.6%"
"District of Columbia, District of Columbia",""
"    Estimate","134,683"
"    Percent","41.5%"
"Alachua County, Florida",""
"    Estimate","63,185"
"    Percent","54.1%"
"Baker County, Florida",""
"    Estimate","7,799"
"    Percent","85.1%"
"Bay County, Florida",""
"    Estimate","52,660"
"    Percent","66.8%"
"Bradford County, Florida",""
"    Estimate","6,801"
"    Percent","73.3%"
"Brevard County, Florida",""
"    Estimate","197,609"
"    Percent","76.7%"
"Broward County, Florida",""
"    Estimate","479,343"
"    Percent","63.6%"
"Calhoun County, Florida",""
"    Estimate","3,652"
"    Percent","78.8%"
"Charlotte County, Florida",""
"    Estimate","75,877"
"    Percent","83.8%"
"Citrus County, Florida",""
"    Estimate","60,758"
"    Percent","85.2%"
"Clay County, Florida",""
"    Estimate","63,522"
"    Percent","75.9%"
"Collier County, Florida",""
"    Estimate","127,058"
"    Percent","76.6%"
"Columbia County, Florida",""
"    Estimate","19,886"
"    Percent","72.5%"
"DeSoto County, Florida",""
"    Estimate","9,300"
"    Percent","72.5%"
"Dixie County, Florida",""
"    Estimate","5,284"
"    Percent","84.7%"
"Duval County, Florida",""
"    Estimate","241,719"
"    Percent","58.2%"
"Escambia County, Florida",""
"    Estimate","83,586"
"    Percent","64.8%"
"Flagler County, Florida",""
"    Estimate","43,619"
"    Percent","83.0%"
"Franklin County, Florida",""
"    Estimate","4,003"
"    Percent","80.9%"
"Gadsden County, Florida",""
"    Estimate","11,926"
"    Percent","70.7%"
"Gilchrist County, Florida",""
"    Estimate","6,130"
"    Percent","85.7%"
"Glades County, Florida",""
"    Estimate","3,829"
"    Percent","85.1%"
"Gulf County, Florida",""
"    Estimate","4,802"
"    Percent","80.8%"
"Hamilton County, Florida",""
"    Estimate","3,416"
"    Percent","79.8%"
"Hardee County, Florida",""
"    Estimate","5,868"
"    Percent","71.4%"
"Hendry County, Florida",""
"    Estimate","10,395"
"    Percent","73.6%"
"Hernando County, Florida",""
"    Estimate","68,075"
"    Percent","82.5%"
"Highlands County, Florida",""
"    Estimate","36,845"
"    Percent","78.6%"
"Hillsborough County, Florida",""
"    Estimate","358,562"
"    Percent","61.5%"
"Holmes County, Florida",""
"    Estimate","5,356"
"    Percent","76.4%"
"Indian River County, Florida",""
"    Estimate","56,735"
"    Percent","80.1%"
"Jackson County, Florida",""
"    Estimate","13,117"
"    Percent","75.9%"
"Jefferson County, Florida",""
"    Estimate","4,363"
"    Percent","75.9%"
"Lafayette County, Florida",""
"    Estimate","2,031"
"    Percent","77.2%"
"Lake County, Florida",""
"    Estimate","127,645"
"    Percent","77.6%"
"Lee County, Florida",""
"    Estimate","243,654"
"    Percent","74.3%"
"Leon County, Florida",""
"    Estimate","64,446"
"    Percent","52.6%"
"Levy County, Florida",""
"    Estimate","15,118"
"    Percent","81.4%"
"Liberty County, Florida",""
"    Estimate","2,052"
"    Percent","80.1%"
"Madison County, Florida",""
"    Estimate","5,121"
"    Percent","73.4%"
"Manatee County, Florida",""
"    Estimate","131,373"
"    Percent","74.3%"
"Marion County, Florida",""
"    Estimate","127,737"
"    Percent","77.5%"
"Martin County, Florida",""
"    Estimate","53,998"
"    Percent","79.6%"
